delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC01_000/ov_SC01_000_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_077/ov_SC01_077_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_MAIN_012/ov_MAIN_012_jr_8015A3C8.c:func_8015D01C IDENTICAL on 1 object(s) (0.44 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_037/ov_SC02_037_jr_8015A3C8.c:func_8015D01C IDENTICAL on 1 object(s) (0.47 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_004/ov_SC02_004_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_004/ov_SC01_004_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_084/ov_SC01_084_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_005/ov_SC02_005_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_009/ov_SC01_009_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.43 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_011/ov_SC02_011_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.48 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_080/ov_SC01_080_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_074/ov_SC01_074_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_001/ov_SC01_001_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_008/ov_SC01_008_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_015/ov_SC02_015_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.40 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_016/ov_SC02_016_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.38 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_017/ov_SC02_017_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.70 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_005/ov_SC01_005_jr_8015C32C.c:func_8015D01C IDENTICAL on 2 object(s) (0.84 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_000/ov_SC02_000_jr_8015C32C.c:func_8015D01C IDENTICAL on 2 object(s) (0.79 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_026/ov_SC02_026_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_039/ov_SC02_039_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
