delever: the census describes another tree (stamp 95f31b0d3534a95a); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte1: 400 files of 644 with work (0 done) — 8141 definitions, 897 direct statements
05:49:26   src/ov_SC03_090/ov_SC03_090_jr_8017CA80.c: CONSOLIDATED — deleted 38 defs, renamed 0, use renames 0, direct calls 4, direct levers 6, unmatched 0, marked 6
05:49:26   src/md_MAIN_034/md_MAIN_034.c: CONSOLIDATED — deleted 94 defs, renamed 0, use renames 8, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:28   src/ov_SC07_001/ov_SC07_001_jr_8017BEBC.c: CONSOLIDATED — deleted 67 defs, renamed 0, use renames 30, direct calls 0, direct levers 0, unmatched 1, marked 0
05:49:28   src/ov_SC03_112/ov_SC03_112_jr_8017C294.c: CONSOLIDATED — deleted 50 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 1, marked 0
05:49:29   src/ov_SC06_029/ov_SC06_029_jr_8017C954.c: CONSOLIDATED — deleted 74 defs, renamed 0, use renames 4, direct calls 1, direct levers 1, unmatched 1, marked 1
05:49:29   src/ov_SC03_030/ov_SC03_030_jr_8017AE2C.c: CONSOLIDATED — deleted 35 defs, renamed 0, use renames 10, direct calls 5, direct levers 7, unmatched 1, marked 7
05:49:29   src/ov_SC04_007/ov_SC04_007_jr_8017BEBC.c: CONSOLIDATED — deleted 58 defs, renamed 0, use renames 39, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:30   src/ov_SC04_005/ov_SC04_005_jr_8017BEBC.c: CONSOLIDATED — deleted 58 defs, renamed 0, use renames 39, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:30   src/ov_SC06_032/ov_SC06_032_jr_80182890.c: CONSOLIDATED — deleted 66 defs, renamed 0, use renames 0, direct calls 2, direct levers 0, unmatched 0, marked 0
05:49:30   src/ov_SC07_002/ov_SC07_002_jr_8017C8D0.c: CONSOLIDATED — deleted 45 defs, renamed 0, use renames 42, direct calls 0, direct levers 0, unmatched 1, marked 0
05:49:31   src/ov_SC05_003/ov_SC05_003_jr_8017BEBC.c: CONSOLIDATED — deleted 44 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 1, marked 0
05:49:31   src/ov_SC05_002/ov_SC05_002_jr_8017BEBC.c: CONSOLIDATED — deleted 46 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:31   src/ov_SC03_113/ov_SC03_113_jr_8017C294.c: CONSOLIDATED — deleted 50 defs, renamed 0, use renames 8, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:32   src/ov_SC06_018/ov_SC06_018_jr_80187AEC.c: CONSOLIDATED — deleted 43 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:32   src/ov_SC03_101/ov_SC03_101_jr_8017CA80.c: CONSOLIDATED — deleted 36 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:32   src/ov_SC03_089/ov_SC03_089_jr_8017CA80.c: CONSOLIDATED — deleted 34 defs, renamed 0, use renames 0, direct calls 4, direct levers 6, unmatched 0, marked 6
05:49:33   src/ov_SC04_002/ov_SC04_002_jr_8017BEBC.c: CONSOLIDATED — deleted 40 defs, renamed 0, use renames 39, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:33   src/ov_SC03_102/ov_SC03_102_jr_8017BEBC.c: CONSOLIDATED — deleted 37 defs, renamed 0, use renames 1, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:34   src/ov_SC02_027/ov_SC02_027_jr_8017D898.c: CONSOLIDATED — deleted 34 defs, renamed 0, use renames 3, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:35   src/ov_SC02_041/ov_SC02_041_jr_8017BEBC.c: CONSOLIDATED — deleted 41 defs, renamed 0, use renames 38, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:35   src/ov_SC06_032/ov_SC06_032_jr_8017C24C.c: CONSOLIDATED — deleted 19 defs, renamed 0, use renames 6, direct calls 14, direct levers 0, unmatched 2, marked 0
05:49:36   src/ov_SC04_011/ov_SC04_011_jr_8017D494.c: CONSOLIDATED — deleted 46 defs, renamed 0, use renames 11, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:36   src/ov_SC02_017/ov_SC02_017_jr_8017DF34.c: CONSOLIDATED — deleted 31 defs, renamed 0, use renames 9, direct calls 1, direct levers 2, unmatched 1, marked 2
05:49:37   src/ov_SC04_003/ov_SC04_003_jr_8017BEBC.c: CONSOLIDATED — deleted 34 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:37   src/ov_SC03_111/ov_SC03_111_jr_8017EC58.c: CONSOLIDATED — deleted 43 defs, renamed 0, use renames 9, direct calls 0, direct levers 0, unmatched 1, marked 0
05:49:37   src/md_SC07_004/md_SC07_004.c: CONSOLIDATED — deleted 33 defs, renamed 0, use renames 28, direct calls 0, direct levers 2, unmatched 0, marked 2
05:49:38   src/ov_SC06_018/ov_SC06_018_jr_8017C24C.c: CONSOLIDATED — deleted 19 defs, renamed 0, use renames 6, direct calls 14, direct levers 0, unmatched 4, marked 0
05:49:38   src/ov_SC06_000/ov_SC06_000_jr_8017AE2C.c: CONSOLIDATED — deleted 55 defs, renamed 0, use renames 13, direct calls 2, direct levers 6, unmatched 1, marked 6
05:49:39   src/ov_SC06_020/ov_SC06_020_jr_8017C24C.c: CONSOLIDATED — deleted 16 defs, renamed 0, use renames 0, direct calls 16, direct levers 0, unmatched 2, marked 0
05:49:39   src/ov_SC07_000/ov_SC07_000_jr_8017BEBC.c: CONSOLIDATED — deleted 31 defs, renamed 0, use renames 1, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:39   src/ov_SC03_103/ov_SC03_103_jr_8017C294.c: CONSOLIDATED — deleted 34 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:39   src/ov_SC03_091/ov_SC03_091_jr_8017D898.c: CONSOLIDATED — deleted 30 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:39   src/ov_SC03_014/ov_SC03_014_jr_8017EB7C.c: CONSOLIDATED — deleted 31 defs, renamed 0, use renames 1, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:39   src/ov_SC06_024/ov_SC06_024_jr_8017BEBC.c: CONSOLIDATED — deleted 32 defs, renamed 0, use renames 24, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:39   src/ov_SC03_104/ov_SC03_104_jr_8017CA80.c: CONSOLIDATED — deleted 30 defs, renamed 0, use renames 0, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:40   src/ov_SC03_104/ov_SC03_104_jr_80182038.c: CONSOLIDATED — deleted 20 defs, renamed 0, use renames 0, direct calls 4, direct levers 6, unmatched 0, marked 6
05:49:40   src/ov_SC03_118/ov_SC03_118_jr_8017FB84.c: CONSOLIDATED — deleted 32 defs, renamed 0, use renames 1, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:40   src/ov_SC06_010/ov_SC06_010_jr_8017A4AC.c: CONSOLIDATED — deleted 33 defs, renamed 0, use renames 6, direct calls 0, direct levers 0, unmatched 0, marked 0
05:49:41   src/ov_SC01_001/ov_SC01_001_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_000/ov_SC01_000_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_004/ov_SC01_004_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_009/ov_SC01_009_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_008/ov_SC01_008_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_074/ov_SC01_074_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_080/ov_SC01_080_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:41   src/ov_SC01_084/ov_SC01_084_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC01_005/ov_SC01_005_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_005/ov_SC02_005_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_004/ov_SC02_004_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_011/ov_SC02_011_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_015/ov_SC02_015_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_016/ov_SC02_016_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
05:49:42   src/ov_SC02_017/ov_SC02_017_jr_8012ACE0.c: CONSOLIDATED — deleted 27 defs, renamed 0, use renames 0, direct calls 1, direct levers 0, unmatched 1, marked 0
