delever: the census describes another tree (stamp edd0ed12e734c92d); rerun tools/lever_census.py --sites -j 16 — running the census now
gte_consolidate --apply gte2: 244 files of 468 with work (400 done) — 960 definitions, 240 direct statements
05:58:58   src/ov_SC04_012/ov_SC04_012_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_020/ov_SC04_020_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_016/ov_SC04_016_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_015/ov_SC04_015_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_009/ov_SC04_009_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_000/ov_SC05_000_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_006/ov_SC04_006_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_005/ov_SC04_005_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_007/ov_SC04_007_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_011/ov_SC04_011_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_010/ov_SC04_010_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_001/ov_SC05_001_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_003/ov_SC05_003_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_004/ov_SC05_004_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_006/ov_SC05_006_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC04_018/ov_SC04_018_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_002/ov_SC05_002_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_005/ov_SC05_005_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
05:58:58   src/ov_SC05_007/ov_SC05_007_jr_801380E0.c: CONSOLIDATED — deleted 2 defs, renamed 1, use renames 1, direct calls 2, direct levers 2, unmatched 0, marked 3
