alias	payload	vram	size	mod_id	n_ptrs	text_lo	gap	word_at_tlo
md_MAIN_001	extracted/retail/MAIN.CD.dir/FILE_001.dir/1.1	0x800CEDF8	19996	0x38	0	0x4	0	0x3C03800C
md_MAIN_008	extracted/retail/MAIN.CD.dir/FILE_008.dir/1.1	0x800CEDF8	840	0x3B	0	0x4	0	0x27BDFFE8
md_MAIN_011	extracted/retail/MAIN.CD.dir/FILE_011.dir/1.1	0x800CEDF8	24240	0x37	13	0x604	1484	0x3C02800D
md_MAIN_013	extracted/retail/MAIN.CD.dir/FILE_013.dir/1.1	0x800CAE08	6100	0x13	0	0x4	0	0x27BDFFE8
md_MAIN_014	extracted/retail/MAIN.CD.dir/FILE_014.dir/1.1	0x800CAE08	2088	0x14	0	0x4	0	0x27BDFFE8
md_MAIN_015	extracted/retail/MAIN.CD.dir/FILE_015.dir/1.1	0x800CAE08	6768	0x15	0	0x4	0	0x27BDFFE8
md_MAIN_016	extracted/retail/MAIN.CD.dir/FILE_016.dir/1.1	0x800CAE08	1928	0x16	0	0x4	0	0x27BDFFE8
md_MAIN_017	extracted/retail/MAIN.CD.dir/FILE_017.dir/1.1	0x800CAE08	1492	0x17	0	0x4	0	0x27BDFFE8
md_MAIN_018	extracted/retail/MAIN.CD.dir/FILE_018.dir/1.1	0x800CAE08	2712	0x18	0	0x4	0	0x27BDFFE8
md_MAIN_019	extracted/retail/MAIN.CD.dir/FILE_019.dir/1.1	0x800CAE08	6760	0x19	0	0x4	0	0x27BDFFE8
md_MAIN_020	extracted/retail/MAIN.CD.dir/FILE_020.dir/1.1	0x800CAE08	3244	0x1A	0	0x4	0	0x27BDFFE8
md_MAIN_021	extracted/retail/MAIN.CD.dir/FILE_021.dir/1.1	0x800CAE08	1936	0x1B	0	0x4	0	0x27BDFFE8
md_MAIN_022	extracted/retail/MAIN.CD.dir/FILE_022.dir/1.1	0x800CAE08	4072	0x1C	0	0x4	0	0x27BDFFE8
md_MAIN_023	extracted/retail/MAIN.CD.dir/FILE_023.dir/0.1	0x800CAE08	388	0x1D	0	0x4	0	0x27BDFFE8
md_MAIN_024	extracted/retail/MAIN.CD.dir/FILE_024.dir/0.1	0x800CAE08	332	0x1E	0	0x4	0	0x27BDFFE8
md_MAIN_025	extracted/retail/MAIN.CD.dir/FILE_025.dir/1.1	0x800CAE08	6396	0x1F	0	0x4	0	0xFFE00000
md_MAIN_026	extracted/retail/MAIN.CD.dir/FILE_026.dir/1.1	0x800CAE08	3600	0x20	0	0x4	0	0x27BDFFE8
md_MAIN_027	extracted/retail/MAIN.CD.dir/FILE_027.dir/1.1	0x800CAE08	5272	0x21	0	0x4	0	0x27BDFFE8
md_MAIN_028	extracted/retail/MAIN.CD.dir/FILE_028.dir/1.1	0x800CAE08	4460	0x22	0	0x4	0	0x27BDFFE8
md_MAIN_029	extracted/retail/MAIN.CD.dir/FILE_029.dir/1.1	0x800CAE08	1984	0x23	0	0x4	0	0x27BDFFE8
md_MAIN_030	extracted/retail/MAIN.CD.dir/FILE_030.dir/1.1	0x800CAE08	1876	0x24	0	0x4	0	0x27BDFFE8
md_MAIN_031	extracted/retail/MAIN.CD.dir/FILE_031.dir/1.1	0x800CAE08	5044	0x25	0	0x4	0	0x27BDFFE8
md_MAIN_032	extracted/retail/MAIN.CD.dir/FILE_032.dir/1.1	0x800CAE08	5572	0x26	0	0x4	0	0x27BDFFE8
md_MAIN_033	extracted/retail/MAIN.CD.dir/FILE_033.dir/1.1	0x800CAE08	3264	0x27	0	0x4	0	0x27BDFFE8
md_MAIN_034	extracted/retail/MAIN.CD.dir/FILE_034.dir/1.1	0x800CAE08	7444	0x28	29	0x280	520	0x02202021
md_MAIN_035	extracted/retail/MAIN.CD.dir/FILE_035.dir/1.1	0x800CAE08	1248	0x29	0	0x4	0	0x27BDFFE8
md_MAIN_036	extracted/retail/MAIN.CD.dir/FILE_036.dir/1.1	0x800CAE08	4916	0x2A	0	0x4	0	0x27BDFFE8
md_MAIN_037	extracted/retail/MAIN.CD.dir/FILE_037.dir/1.1	0x800CAE08	2904	0x2B	0	0x4	0	0x3C02800D
md_MAIN_038	extracted/retail/MAIN.CD.dir/FILE_038.dir/1.1	0x800CAE08	7232	0x2C	0	0x4	0	0x27BDFFE8
md_MAIN_039	extracted/retail/MAIN.CD.dir/FILE_039.dir/1.1	0x800CAE08	5700	0x2D	0	0x4	0	0x00000000
md_MAIN_040	extracted/retail/MAIN.CD.dir/FILE_040.dir/1.1	0x800CAE08	3956	0x2E	0	0x4	0	0x27BDFFE8
md_MAIN_041	extracted/retail/MAIN.CD.dir/FILE_041.dir/1.1	0x800CAE08	4100	0x2F	0	0x4	0	0x27BDFFE8
md_MAIN_042	extracted/retail/MAIN.CD.dir/FILE_042.dir/0.1	0x800CCB1C	636	0x30	0	0x4	0	0x27BDFFE8
md_MAIN_043	extracted/retail/MAIN.CD.dir/FILE_043.dir/0.1	0x800CCB1C	3912	0x31	0	0x4	0	0x27BDFFE8
md_MAIN_044	extracted/retail/MAIN.CD.dir/FILE_044.dir/0.1	0x800CCB1C	8920	0x32	0	0x4	0	0x03E00008
md_MAIN_045	extracted/retail/MAIN.CD.dir/FILE_045.dir/0.1	0x800CCB1C	5432	0x33	0	0x4	0	0x03E00008
md_MAIN_046	extracted/retail/MAIN.CD.dir/FILE_046.dir/0.1	0x800CCB1C	7612	0x34	0	0x4	0	0x03E00008
md_MAIN_047	extracted/retail/MAIN.CD.dir/FILE_047.dir/0.1	0x800CCB1C	3272	0x35	0	0x4	0	0x03E00008
md_SC07_003	extracted/retail/SC07.CD.dir/FILE_003.dir/1.1	0x801A00D8	345132	0x72	11	0x930	2304	0x02202021
md_SC07_004	extracted/retail/SC07.CD.dir/FILE_004.dir/1.1	0x801A00D8	365152	0x73	19	0x370	800	0x8602000A
